Departamento;Municipio;Tipologia;Estado  de intervención
AMAZONAS;EL ENCANTO;Tipo IV;Sin minas
AMAZONAS;LA CHORRERA;Tipo III;Sin minas
AMAZONAS;LA PEDRERA;Tipo IV;Sin minas
AMAZONAS;LA VICTORIA;Tipo IV;Sin minas
AMAZONAS;LETICIA;Tipo IV;Sin minas
AMAZONAS;MIRITÍ - PARANÁ;Tipo IV;Sin minas
AMAZONAS;PUERTO ALEGRÍA;Tipo IV;Sin minas
AMAZONAS;PUERTO ARICA;Tipo IV;Sin minas
AMAZONAS;PUERTO NARIÑO;Tipo IV;Sin minas
AMAZONAS;PUERTO SANTANDER;Tipo I;Sin minas
AMAZONAS;TARAPACÁ;Tipo IV;Sin minas
ANTIOQUIA;ABEJORRAL;Plan de intervención DH;En intervención
ANTIOQUIA;ABRIAQUÍ;Tipo II;Sin minas
ANTIOQUIA;ALEJANDRÍA;Tipo II;En intervención
ANTIOQUIA;AMAGÁ;Tipo IV;Sin minas
ANTIOQUIA;AMALFI;Tipo I;Por intervenir
ANTIOQUIA;ANDES;Tipo IV;Sin minas
ANTIOQUIA;ANGELÓPOLIS;Tipo III;Sin minas
ANTIOQUIA;ANGOSTURA;Tipo I;Por intervenir
ANTIOQUIA;ANORÍ;Tipo I;Por intervenir
ANTIOQUIA;ANZÁ;Tipo II;Sin minas
ANTIOQUIA;APARTADÓ;Tipo I;Por intervenir
ANTIOQUIA;ARBOLETES;Tipo IV;Sin minas
ANTIOQUIA;ARGELIA;Tipo I;En intervención
ANTIOQUIA;ARMENIA;Tipo IV;Sin minas
ANTIOQUIA;BARBOSA;Tipo III;Sin minas
ANTIOQUIA;BELLO;Tipo II;Sin minas
ANTIOQUIA;BELMIRA;Tipo IV;Sin minas
ANTIOQUIA;BETANIA;Tipo III;Sin minas
ANTIOQUIA;BETULIA;Tipo III;Sin minas
ANTIOQUIA;BRICEÑO;Tipo I;En intervención
ANTIOQUIA;BURITICÁ;Tipo II;Por intervenir
ANTIOQUIA;CÁCERES;Tipo I;Por intervenir
ANTIOQUIA;CAICEDO;Tipo II;Sin minas
ANTIOQUIA;CALDAS;Tipo III;Sin minas
ANTIOQUIA;CAMPAMENTO;Tipo I;Por intervenir
ANTIOQUIA;CAÑASGORDAS;Tipo II;Por intervenir
ANTIOQUIA;CARACOLÍ;Tipo II;Sin minas
ANTIOQUIA;CARAMANTA;Tipo II;Sin minas
ANTIOQUIA;CAREPA;Tipo II;Por intervenir
ANTIOQUIA;CARMEN DE VIBORAL;Plan de intervención DH;En intervención
ANTIOQUIA;CAROLINA;Tipo III;Sin minas
ANTIOQUIA;CAUCASIA;Tipo II;Por intervenir
ANTIOQUIA;CHIGORODÓ;Tipo I;Por intervenir
ANTIOQUIA;CISNEROS;Tipo II;Sin minas
ANTIOQUIA;CIUDAD BOLÍVAR;Tipo IV;Sin minas
ANTIOQUIA;COCORNÁ;Plan de intervención DH;Sin minas
ANTIOQUIA;CONCEPCIÓN;Tipo II;En intervención
ANTIOQUIA;CONCORDIA;Tipo IV;Sin minas
ANTIOQUIA;COPACABANA;Tipo IV;Sin minas
ANTIOQUIA;DABEIBA;Tipo I;Por intervenir
ANTIOQUIA;DONMATÍAS;Tipo III;Sin minas
ANTIOQUIA;EBÉJICO;Tipo IV;Sin minas
ANTIOQUIA;EL BAGRE;Tipo I;Por intervenir
ANTIOQUIA;EL SANTUARIO;Tipo II;En intervención
ANTIOQUIA;ENTRERRÍOS;Tipo IV;Sin minas
ANTIOQUIA;ENVIGADO;Tipo IV;Sin minas
ANTIOQUIA;FREDONIA;Tipo IV;Sin minas
ANTIOQUIA;FRONTINO;Tipo II;Por intervenir
ANTIOQUIA;GIRALDO;Tipo III;Sin minas
ANTIOQUIA;GIRARDOTA;Tipo IV;Sin minas
ANTIOQUIA;GÓMEZ PLATA;Tipo II;Sin minas
ANTIOQUIA;GRANADA;Plan de intervención DH;Sin minas
ANTIOQUIA;GUADALUPE;Tipo I;En intervención
ANTIOQUIA;GUARNE;Tipo II;Sin minas
ANTIOQUIA;GUATAPÉ;Tipo II;Sin minas
ANTIOQUIA;HELICONIA;Tipo IV;Sin minas
ANTIOQUIA;HISPANIA;Tipo IV;Sin minas
ANTIOQUIA;ITAGÜÍ;Tipo II;Sin minas
ANTIOQUIA;ITUANGO;Tipo I;En intervención
ANTIOQUIA;JARDÍN;Tipo II;Sin minas
ANTIOQUIA;JERICÓ;Tipo IV;Sin minas
ANTIOQUIA;LA CEJA;Tipo IV;Sin minas
ANTIOQUIA;LA ESTRELLA;Tipo IV;Sin minas
ANTIOQUIA;LA PINTADA;Tipo IV;Sin minas
ANTIOQUIA;LA UNIÓN;Plan de intervención DH;Sin minas
ANTIOQUIA;LIBORINA;Tipo II;En intervención
ANTIOQUIA;MACEO;Tipo I;En intervención
ANTIOQUIA;MARINILLA;Tipo III;Sin minas
ANTIOQUIA;MEDELLÍN;Tipo I;Sin minas
ANTIOQUIA;MONTEBELLO;Tipo II;En intervención
ANTIOQUIA;MURINDÓ;Tipo II;Por intervenir
ANTIOQUIA;MUTATÁ;Tipo I;Por intervenir
ANTIOQUIA;NARIÑO;Plan de intervención DH;Sin minas
ANTIOQUIA;NECHÍ;Tipo II;Por intervenir
ANTIOQUIA;NECOCLÍ;Tipo I;Por intervenir
ANTIOQUIA;OLAYA;Tipo IV;Sin minas
ANTIOQUIA;PEÑOL;Tipo II;Sin minas
ANTIOQUIA;PEQUE;Tipo I;Por intervenir
ANTIOQUIA;PUEBLORRICO;Tipo IV;Sin minas
ANTIOQUIA;PUERTO BERRÍO;Tipo II;En intervención
ANTIOQUIA;PUERTO NARE;Tipo III;Sin minas
ANTIOQUIA;PUERTO TRIUNFO;Tipo I;Sin minas
ANTIOQUIA;REMEDIOS;Tipo II;Por intervenir
ANTIOQUIA;RETIRO;Tipo IV;Sin minas
ANTIOQUIA;RIONEGRO;Tipo II;Sin minas
ANTIOQUIA;SABANALARGA;Tipo I;Sin minas
ANTIOQUIA;SABANETA;Tipo IV;Sin minas
ANTIOQUIA;SALGAR;Tipo IV;Sin minas
ANTIOQUIA;SAN ANDRÉS DE CUERQUÍA;Tipo I;En intervención
ANTIOQUIA;SAN CARLOS;Plan de intervención DH;Sin minas
ANTIOQUIA;SAN FRANCISCO;Plan de intervención DH;Sin minas
ANTIOQUIA;SAN JERÓNIMO;Tipo II;En intervención
ANTIOQUIA;SAN JOSÉ DE LA MONTAÑA;Tipo II;En intervención
ANTIOQUIA;SAN JUAN DE URABÁ;Tipo IV;Por intervenir
ANTIOQUIA;SAN LUIS;Tipo I;En intervención
ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;Tipo IV;Sin minas
ANTIOQUIA;SAN PEDRO DE URABÁ;Tipo IV;Sin minas
ANTIOQUIA;SAN RAFAEL;Plan de intervención DH;En intervención
ANTIOQUIA;SAN ROQUE;Tipo II;En intervención
ANTIOQUIA;SAN VICENTE FERRER;Tipo II;Sin minas
ANTIOQUIA;SANTA BÁRBARA;Tipo III;Sin minas
ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;Tipo I;En intervención
ANTIOQUIA;SANTA ROSA DE OSOS;Tipo II;En intervención
ANTIOQUIA;SANTO DOMINGO;Tipo II;En intervención
ANTIOQUIA;SEGOVIA;Tipo I;Por intervenir
ANTIOQUIA;SONSÓN;Plan de intervención DH;En intervención
ANTIOQUIA;SOPETRÁN;Tipo III;Sin minas
ANTIOQUIA;TÁMESIS;Tipo II;Sin minas
ANTIOQUIA;TARAZÁ;Tipo I;Por intervenir
ANTIOQUIA;TARSO;Tipo III;Sin minas
ANTIOQUIA;TITIRIBÍ;Tipo IV;Sin minas
ANTIOQUIA;TOLEDO;Tipo I;En intervención
ANTIOQUIA;TURBO;Tipo I;Por intervenir
ANTIOQUIA;URAMITA;Tipo III;Sin minas
ANTIOQUIA;URRAO;Tipo I;En intervención
ANTIOQUIA;VALDIVIA;Tipo I;Por intervenir
ANTIOQUIA;VALPARAÍSO;Tipo IV;Sin minas
ANTIOQUIA;VEGACHÍ;Tipo I;Por intervenir
ANTIOQUIA;VENECIA;Tipo III;Sin minas
ANTIOQUIA;VIGÍA DEL FUERTE;Tipo I;Por intervenir
ANTIOQUIA;YALÍ;Tipo II;Por intervenir
ANTIOQUIA;YARUMAL;Tipo I;Por intervenir
ANTIOQUIA;YOLOMBÓ;Tipo II;En intervención
ANTIOQUIA;YONDÓ;Tipo II;Por intervenir
ANTIOQUIA;ZARAGOZA;Tipo I;Por intervenir
ARAUCA;ARAUCA;Tipo I;Por intervenir
ARAUCA;ARAUQUITA;Tipo I;Por intervenir
ARAUCA;CRAVO NORTE;Tipo II;Por intervenir
ARAUCA;FORTUL;Tipo I;Por intervenir
ARAUCA;PUERTO RONDÓN;Tipo I;Por intervenir
ARAUCA;SARAVENA;Tipo I;Por intervenir
ARAUCA;TAME;Tipo I;Por intervenir
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;Tipo IV;Sin minas
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;SAN ANDRÉS;Tipo IV;Sin minas
ATLÁNTICO;BARANOA;Tipo IV;Sin minas
ATLÁNTICO;BARRANQUILLA;Tipo II;Sin minas
ATLÁNTICO;CAMPO DE LA CRUZ;Tipo IV;Sin minas
ATLÁNTICO;CANDELARIA;Tipo IV;Sin minas
ATLÁNTICO;GALAPA;Tipo III;Sin minas
ATLÁNTICO;JUAN DE ACOSTA;Tipo IV;Sin minas
ATLÁNTICO;LURUACO;Tipo IV;Sin minas
ATLÁNTICO;MALAMBO;Tipo IV;Sin minas
ATLÁNTICO;MANATÍ;Tipo IV;Sin minas
ATLÁNTICO;PALMAR DE VARELA;Tipo IV;Sin minas
ATLÁNTICO;PIOJÓ;Tipo IV;Sin minas
ATLÁNTICO;POLONUEVO;Tipo IV;Sin minas
ATLÁNTICO;PONEDERA;Tipo IV;Sin minas
ATLÁNTICO;PUERTO COLOMBIA;Tipo III;Sin minas
ATLÁNTICO;REPELÓN;Tipo IV;Sin minas
ATLÁNTICO;SABANAGRANDE;Tipo IV;Sin minas
ATLÁNTICO;SABANALARGA;Tipo II;Sin minas
ATLÁNTICO;SANTA LUCÍA;Tipo III;Sin minas
ATLÁNTICO;SANTO TOMÁS;Tipo IV;Sin minas
ATLÁNTICO;SOLEDAD;Tipo III;Sin minas
ATLÁNTICO;SUAN;Tipo IV;Sin minas
ATLÁNTICO;TUBARÁ;Tipo IV;Sin minas
ATLÁNTICO;USIACURÍ;Tipo IV;Sin minas
BOGOTÁ, D.C.;BOGOTÁ;Tipo I;En intervención
BOLÍVAR;ACHÍ;Tipo II;Por intervenir
BOLÍVAR;ALTOS DEL ROSARIO;Tipo III;Sin minas
BOLÍVAR;ARENAL;Tipo I;Por intervenir
BOLÍVAR;ARJONA;Tipo III;Sin minas
BOLÍVAR;ARROYOHONDO;Tipo IV;Sin minas
BOLÍVAR;BARRANCO DE LOBA;Tipo II;Por intervenir
BOLÍVAR;CALAMAR;Tipo III;Sin minas
BOLÍVAR;CANTAGALLO;Tipo I;Por intervenir
BOLÍVAR;CARTAGENA DE INDIAS;Tipo II;En intervención
BOLÍVAR;CICUCO;Tipo IV;Sin minas
BOLÍVAR;CLEMENCIA;Tipo IV;Sin minas
BOLÍVAR;CÓRDOBA;Plan de intervención DH;Sin minas
BOLÍVAR;EL CARMEN DE BOLÍVAR;Plan de intervención DH;En intervención
BOLÍVAR;EL GUAMO;Tipo II;En intervención
BOLÍVAR;EL PEÑÓN;Tipo IV;Sin minas
BOLÍVAR;HATILLO DE LOBA;Tipo IV;Sin minas
BOLÍVAR;MAGANGUÉ;Tipo IV;Sin minas
BOLÍVAR;MAHATES;Tipo IV;Sin minas
BOLÍVAR;MARGARITA;Tipo IV;Sin minas
BOLÍVAR;MARÍA LA BAJA;Tipo IV;Por intervenir
BOLÍVAR;MOMPÓS;Tipo IV;Sin minas
BOLÍVAR;MONTECRISTO;Tipo I;Por intervenir
BOLÍVAR;MORALES;Tipo I;Por intervenir
BOLÍVAR;NOROSÍ;Tipo I;Por intervenir
BOLÍVAR;PINILLOS;Tipo II;Sin minas
BOLÍVAR;REGIDOR;Tipo II;Sin minas
BOLÍVAR;RÍO VIEJO;Tipo II;Por intervenir
BOLÍVAR;SAN CRISTÓBAL;Tipo IV;Sin minas
BOLÍVAR;SAN ESTANISLAO;Tipo III;Sin minas
BOLÍVAR;SAN FERNANDO;Tipo IV;Sin minas
BOLÍVAR;SAN JACINTO;Plan de intervención DH;En intervención
BOLÍVAR;SAN JACINTO DEL CAUCA;Tipo II;Por intervenir
BOLÍVAR;SAN JUAN NEPOMUCENO;Plan de intervención DH;En intervención
BOLÍVAR;SAN MARTÍN DE LOBA;Tipo II;Por intervenir
BOLÍVAR;SAN PABLO;Tipo II;Por intervenir
BOLÍVAR;SANTA CATALINA;Tipo III;Sin minas
BOLÍVAR;SANTA ROSA;Tipo II;Sin minas
BOLÍVAR;SANTA ROSA DEL SUR;Tipo I;Por intervenir
BOLÍVAR;SIMITÍ;Tipo I;Por intervenir
BOLÍVAR;SOPLAVIENTO;Tipo IV;Sin minas
BOLÍVAR;TALAIGUA NUEVO;Tipo II;Sin minas
BOLÍVAR;TIQUISIO;Tipo II;Por intervenir
BOLÍVAR;TURBACO;Tipo IV;Sin minas
BOLÍVAR;TURBANÁ;Tipo IV;Sin minas
BOLÍVAR;VILLANUEVA;Tipo II;Sin minas
BOLÍVAR;ZAMBRANO;Plan de intervención DH;Sin minas
BOYACÁ;ALMEIDA;Tipo III;Sin minas
BOYACÁ;AQUITANIA;Tipo II;En intervención
BOYACÁ;ARCABUCO;Tipo IV;Sin minas
BOYACÁ;BELÉN;Tipo III;Sin minas
BOYACÁ;BERBEO;Tipo IV;Sin minas
BOYACÁ;BETÉITIVA;Tipo IV;Sin minas
BOYACÁ;BOAVITA;Tipo IV;Sin minas
BOYACÁ;BOYACÁ;Tipo IV;Sin minas
BOYACÁ;BRICEÑO;Tipo IV;Sin minas
BOYACÁ;BUENAVISTA;Tipo IV;Sin minas
BOYACÁ;BUSBANZÁ;Tipo IV;Sin minas
BOYACÁ;CALDAS;Tipo IV;Sin minas
BOYACÁ;CAMPOHERMOSO;Tipo III;Sin minas
BOYACÁ;CERINZA;Tipo III;Sin minas
BOYACÁ;CHINAVITA;Tipo IV;Sin minas
BOYACÁ;CHIQUINQUIRÁ;Tipo IV;Sin minas
BOYACÁ;CHÍQUIZA;Tipo IV;Sin minas
BOYACÁ;CHISCAS;Tipo II;En intervención
BOYACÁ;CHITA;Tipo II;Por intervenir
BOYACÁ;CHITARAQUE;Tipo IV;Sin minas
BOYACÁ;CHIVATÁ;Tipo IV;Sin minas
BOYACÁ;CHIVOR;Tipo IV;Sin minas
BOYACÁ;CIÉNEGA;Tipo IV;Sin minas
BOYACÁ;CÓMBITA;Tipo IV;Sin minas
BOYACÁ;COPER;Tipo III;Sin minas
BOYACÁ;CORRALES;Tipo IV;Sin minas
BOYACÁ;COVARACHÍA;Tipo IV;Sin minas
BOYACÁ;CUBARÁ;Tipo I;Por intervenir
BOYACÁ;CUCAITA;Tipo IV;Sin minas
BOYACÁ;CUÍTIVA;Tipo IV;Sin minas
BOYACÁ;DUITAMA;Tipo II;Sin minas
BOYACÁ;EL COCUY;Tipo II;En intervención
BOYACÁ;EL ESPINO;Tipo III;Sin minas
BOYACÁ;FIRAVITOBA;Tipo IV;Sin minas
BOYACÁ;FLORESTA;Tipo IV;Sin minas
BOYACÁ;GACHANTIVÁ;Tipo IV;Sin minas
BOYACÁ;GÁMEZA;Tipo III;Sin minas
BOYACÁ;GARAGOA;Tipo II;Sin minas
BOYACÁ;GUACAMAYAS;Tipo IV;Sin minas
BOYACÁ;GUATEQUE;Tipo IV;Sin minas
BOYACÁ;GUAYATÁ;Tipo IV;Sin minas
BOYACÁ;GÜICÁN;Tipo III;Por intervenir
BOYACÁ;IZA;Tipo IV;Sin minas
BOYACÁ;JENESANO;Tipo IV;Sin minas
BOYACÁ;JERICÓ;Tipo III;Sin minas
BOYACÁ;LA CAPILLA;Tipo IV;Sin minas
BOYACÁ;LA UVITA;Tipo III;Sin minas
BOYACÁ;LA VICTORIA;Tipo IV;Sin minas
BOYACÁ;LABRANZAGRANDE;Tipo I;Por intervenir
BOYACÁ;MACANAL;Tipo III;Sin minas
BOYACÁ;MARIPÍ;Tipo III;Sin minas
BOYACÁ;MIRAFLORES;Tipo IV;Sin minas
BOYACÁ;MONGUA;Tipo III;Sin minas
BOYACÁ;MONGUÍ;Tipo IV;Sin minas
BOYACÁ;MONIQUIRÁ;Tipo III;Sin minas
BOYACÁ;MOTAVITA;Tipo IV;Sin minas
BOYACÁ;MUZO;Tipo IV;Sin minas
BOYACÁ;NOBSA;Tipo IV;Sin minas
BOYACÁ;NUEVO COLÓN;Tipo IV;Sin minas
BOYACÁ;OICATÁ;Tipo IV;Sin minas
BOYACÁ;OTANCHE;Tipo II;Sin minas
BOYACÁ;PACHAVITA;Tipo IV;Sin minas
BOYACÁ;PÁEZ;Tipo II;Sin minas
BOYACÁ;PAIPA;Tipo IV;Sin minas
BOYACÁ;PAJARITO;Tipo II;Por intervenir
BOYACÁ;PANQUEBA;Tipo IV;Sin minas
BOYACÁ;PAUNA;Tipo II;Sin minas
BOYACÁ;PAYA;Tipo II;En intervención
BOYACÁ;PAZ DE RÍO;Tipo IV;Sin minas
BOYACÁ;PESCA;Tipo III;En intervención
BOYACÁ;PISBA;Tipo I;Por intervenir
BOYACÁ;PUERTO BOYACÁ;Tipo III;Sin minas
BOYACÁ;QUÍPAMA;Tipo II;Sin minas
BOYACÁ;RAMIRIQUÍ;Tipo IV;Sin minas
BOYACÁ;RÁQUIRA;Tipo IV;Sin minas
BOYACÁ;RONDÓN;Tipo IV;Sin minas
BOYACÁ;SABOYÁ;Tipo IV;Sin minas
BOYACÁ;SÁCHICA;Tipo IV;Sin minas
BOYACÁ;SAMACÁ;Tipo IV;Sin minas
BOYACÁ;SAN EDUARDO;Tipo III;Sin minas
BOYACÁ;SAN JOSÉ DE PARE;Tipo IV;Sin minas
BOYACÁ;SAN LUIS DE GACENO;Tipo III;Sin minas
BOYACÁ;SAN MATEO;Tipo III;Sin minas
BOYACÁ;SAN MIGUEL DE SEMA;Tipo IV;Sin minas
BOYACÁ;SAN PABLO DE BORBUR;Tipo III;Sin minas
BOYACÁ;SANTA MARÍA;Tipo III;Sin minas
BOYACÁ;SANTA ROSA DE VITERBO;Tipo IV;Sin minas
BOYACÁ;SANTA SOFÍA;Tipo IV;Sin minas
BOYACÁ;SANTANA;Tipo IV;Sin minas
BOYACÁ;SATIVANORTE;Tipo III;Sin minas
BOYACÁ;SATIVASUR;Tipo III;Sin minas
BOYACÁ;SIACHOQUE;Tipo IV;Sin minas
BOYACÁ;SOATÁ;Tipo IV;Sin minas
BOYACÁ;SOCHA;Tipo IV;Sin minas
BOYACÁ;SOCOTÁ;Tipo III;Sin minas
BOYACÁ;SOGAMOSO;Tipo II;Sin minas
BOYACÁ;SOMONDOCO;Tipo IV;Sin minas
BOYACÁ;SORA;Tipo IV;Sin minas
BOYACÁ;SORACÁ;Tipo IV;Sin minas
BOYACÁ;SOTAQUIRÁ;Tipo IV;Sin minas
BOYACÁ;SUSACÓN;Tipo III;Sin minas
BOYACÁ;SUTAMARCHÁN;Tipo IV;Sin minas
BOYACÁ;SUTATENZA;Tipo III;Sin minas
BOYACÁ;TASCO;Tipo II;En intervención
BOYACÁ;TENZA;Tipo IV;Sin minas
BOYACÁ;TIBANÁ;Tipo IV;Sin minas
BOYACÁ;TIBASOSA;Tipo IV;Sin minas
BOYACÁ;TINJACÁ;Tipo IV;Sin minas
BOYACÁ;TIPACOQUE;Tipo IV;Sin minas
BOYACÁ;TOCA;Tipo IV;Sin minas
BOYACÁ;TOGÜÍ;Tipo IV;Sin minas
BOYACÁ;TÓPAGA;Tipo IV;Sin minas
BOYACÁ;TOTA;Tipo IV;Sin minas
BOYACÁ;TUNJA;Tipo III;Sin minas
BOYACÁ;TUNUNGUÁ;Tipo III;Sin minas
BOYACÁ;TURMEQUÉ;Tipo IV;Sin minas
BOYACÁ;TUTA;Tipo IV;Sin minas
BOYACÁ;TUTAZÁ;Tipo IV;Sin minas
BOYACÁ;ÚMBITA;Tipo IV;Sin minas
BOYACÁ;VENTAQUEMADA;Tipo IV;Sin minas
BOYACÁ;VILLA DE LEYVA;Tipo IV;Sin minas
BOYACÁ;VIRACACHÁ;Tipo IV;Sin minas
BOYACÁ;ZETAQUIRA;Tipo II;Sin minas
CALDAS;AGUADAS;Tipo II;En intervención
CALDAS;ANSERMA;Tipo II;En intervención
CALDAS;ARANZAZU;Tipo IV;Sin minas
CALDAS;BELALCÁZAR;Tipo IV;Sin minas
CALDAS;CHINCHINÁ;Tipo IV;Sin minas
CALDAS;FILADELFIA;Tipo II;Sin minas
CALDAS;LA DORADA;Tipo II;Sin minas
CALDAS;LA MERCED;Tipo IV;Sin minas
CALDAS;MANIZALES;Tipo II;En intervención
CALDAS;MANZANARES;Tipo II;En intervención
CALDAS;MARMATO;Tipo III;Sin minas
CALDAS;MARQUETALIA;Tipo IV;Sin minas
CALDAS;MARULANDA;Tipo II;En intervención
CALDAS;NEIRA;Tipo IV;Sin minas
CALDAS;NORCASIA;Tipo II;En intervención
CALDAS;PÁCORA;Tipo II;En intervención
CALDAS;PALESTINA;Tipo IV;Sin minas
CALDAS;PENSILVANIA;Tipo II;En intervención
CALDAS;RIOSUCIO;Tipo II;En intervención
CALDAS;RISARALDA;Tipo II;Sin minas
CALDAS;SALAMINA;Tipo II;Sin minas
CALDAS;SAMANÁ;Plan de intervención DH;En intervención
CALDAS;SAN JOSÉ;Tipo IV;Sin minas
CALDAS;SUPÍA;Tipo II;Sin minas
CALDAS;VICTORIA;Tipo IV;Sin minas
CALDAS;VILLAMARÍA;Tipo IV;Sin minas
CALDAS;VITERBO;Tipo IV;Sin minas
CAQUETÁ;ALBANIA;Tipo III;Sin minas
CAQUETÁ;BELÉN DE LOS ANDAQUÍES;Tipo I;En intervención
CAQUETÁ;CARTAGENA DEL CHAIRÁ;Tipo I;En intervención
CAQUETÁ;CURILLO;Tipo I;Por intervenir
CAQUETÁ;EL DONCELLO;Tipo I;En intervención
CAQUETÁ;EL PAUJÍL;Tipo I;En intervención
CAQUETÁ;FLORENCIA;Tipo I;En intervención
CAQUETÁ;LA MONTAÑITA;Tipo I;En intervención
CAQUETÁ;MILÁN;Tipo I;En intervención
CAQUETÁ;MORELIA;Tipo II;En intervención
CAQUETÁ;PUERTO RICO;Tipo I;En intervención
CAQUETÁ;SAN JOSÉ DEL FRAGUA;Tipo I;En intervención
CAQUETÁ;SAN VICENTE DEL CAGUÁN;Tipo I;En intervención
CAQUETÁ;SOLANO;Tipo I;Por intervenir
CAQUETÁ;SOLITA;Tipo II;Por intervenir
CAQUETÁ;VALPARAÍSO;Tipo II;Sin minas
CASANARE;AGUAZUL;Tipo I;En intervención
CASANARE;CHÁMEZA;Tipo II;Sin minas
CASANARE;HATO COROZAL;Tipo II;Por intervenir
CASANARE;LA SALINA;Tipo II;Por intervenir
CASANARE;MANÍ;Tipo IV;Sin minas
CASANARE;MONTERREY;Tipo IV;Sin minas
CASANARE;NUNCHÍA;Tipo III;En intervención
CASANARE;OROCUÉ;Tipo IV;Sin minas
CASANARE;PAZ DE ARIPORO;Tipo I;Por intervenir
CASANARE;PORE;Tipo III;Sin minas
CASANARE;RECETOR;Tipo III;Sin minas
CASANARE;SABANALARGA;Tipo IV;Sin minas
CASANARE;SÁCAMA;Tipo I;Por intervenir
CASANARE;SAN LUIS DE PALENQUE;Tipo IV;Sin minas
CASANARE;TÁMARA;Tipo II;Por intervenir
CASANARE;TAURAMENA;Tipo II;Sin minas
CASANARE;TRINIDAD;Tipo III;Sin minas
CASANARE;VILLANUEVA;Tipo III;En intervención
CASANARE;YOPAL;Tipo I;Sin minas
CAUCA;ALMAGUER;Tipo II;Por intervenir
CAUCA;ARGELIA;Tipo I;Por intervenir
CAUCA;BALBOA;Tipo I;En intervención
CAUCA;BOLÍVAR;Tipo II;En intervención
CAUCA;BUENOS AIRES;Tipo I;En intervención
CAUCA;CAJIBÍO;Tipo I;En intervención
CAUCA;CALDONO;Tipo I;Por intervenir
CAUCA;CALOTO;Tipo I;En intervención
CAUCA;CORINTO;Tipo I;En intervención
CAUCA;EL TAMBO;Tipo I;Por intervenir
CAUCA;FLORENCIA;Tipo II;Sin minas
CAUCA;GUACHENÉ;Tipo III;Sin minas
CAUCA;GUAPÍ;Tipo III;Por intervenir
CAUCA;INZÁ;Tipo II;En intervención
CAUCA;JAMBALÓ;Tipo I;Por intervenir
CAUCA;LA SIERRA;Tipo II;En intervención
CAUCA;LA VEGA;Tipo II;Por intervenir
CAUCA;LÓPEZ DE MICAY;Tipo I;Por intervenir
CAUCA;MERCADERES;Tipo I;Sin minas
CAUCA;MIRANDA;Tipo I;En intervención
CAUCA;MORALES;Tipo I;Por intervenir
CAUCA;PADILLA;Tipo III;Sin minas
CAUCA;PÁEZ;Tipo II;En intervención
CAUCA;PATÍA;Tipo II;Por intervenir
CAUCA;PIAMONTE;Tipo III;Sin minas
CAUCA;PIENDAMÓ;Tipo II;Sin minas
CAUCA;POPAYÁN;Tipo II;Sin minas
CAUCA;PUERTO TEJADA;Tipo III;Sin minas
CAUCA;PURACÉ;Tipo I;En intervención
CAUCA;ROSAS;Tipo IV;Sin minas
CAUCA;SAN SEBASTIÁN;Tipo II;En intervención
CAUCA;SANTA ROSA;Tipo I;En intervención
CAUCA;SANTANDER DE QUILICHAO;Tipo II;En intervención
CAUCA;SILVIA;Tipo II;En intervención
CAUCA;SOTARA;Tipo III;Sin minas
CAUCA;SUÁREZ;Tipo I;En intervención
CAUCA;SUCRE;Tipo III;Sin minas
CAUCA;TIMBÍO;Tipo II;Sin minas
CAUCA;TIMBIQUÍ;Tipo III;Por intervenir
CAUCA;TORIBÍO;Tipo II;Por intervenir
CAUCA;TOTORÓ;Tipo II;En intervención
CAUCA;VILLA RICA;Tipo III;Sin minas
CESAR;AGUACHICA;Tipo II;En intervención
